riddle,score
"Sorry, we can't make a very good riddle with this startword.",0
What is found at at hotel/ but can't smell bad/? mirror/!,1
What is a form of energy/ but can't brown out/? power/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at garage/ but can't need to repaired/? equipment/!,0
What is a where land meets sea/ but doesn't have one side water other land/? cost/!,0
What is found at classroom/ but can't include index/? curriculum/!,1.5
What is found at backseat of car/ but can't arrive early/? bag/!,1.5
What is a anatomical structure/n/ but doesn't have organs/? face/!,1
What is a bird/ but can't land on ocean's surface/? martin/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is found at apartment/ but doesn't have back/? gate/!,0
What is found at air/ but can't drop bomb/? sound/!,1.5
What is found at bag/ but can't act finicky/? sugar/!,1
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at school/ but isn't found at aquaduct/? science/!,0
What is related to after/ but can't can begin to leak/? autumn/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is a adjective/ but can't cause shivering/? new/!,1
What is found at anything/ but isn't found at construction/? stuff/!,0
What is found at car/ but can't cool car/? fuel/!,2
What is found at city/ but isn't found at air port/? war/!,0.5
What is found at book/ but isn't found at aquarium store/? cover/!,2
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at disneyland/ but isn't found at circus/? character/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What can dress herself/ but can't act guilty/? adult/!,0
What is related to about/ but can't can begin to leak/? concern/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at city hall/ but can't decide upon budgets/? council/!,0
What is related to crash/ but can't cause acquired brain injury/? incident/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at body/ but isn't found at animal/? leg/!,0
What is found at floor/ but can't stiffen sail/? newspaper/!,1
What is found at field/ but can't build elaborate underground dwellings/? sport/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at map/ but can't divide two countries/? street/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a collection of things/ but doesn't have identity element/? set/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a musical artist/n/ but is not a interpetor/? tony/!,0
What is found at roof/ but can't can begin to leak/? football/!,0.5
What is a feeling/ but isn't part of human/? hope/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at house/ but doesn't have strings/? uncle/!,1
What is a object/ but can't arm itself/? target/!,0.5
What is a rule/ but can't indicate time for lights out/? standard/!,1.5
What is found at california/ but can't bridge ravine/? coast/!,1.5
What is found at antarctica/ but can't arrives with storm/? ice/!,0
What is found at airport/ but isn't found at advertising agency/? air/!,0
What likes fly/ but can't absorb moisture/? bird/!,0.5
What can right wrong/ but can't prove case/? right/!,0
What is found at country/ but can't shoulder earth/? lake/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is used for explain/ but can't appear false/? example/!,3
What is a band/n/ but is not a automobile/n/? opposition/!,0
What is found at computer/ but can't carry passengers/? memory/!,2
What is found at chemistry lab/ but can't burn flesh/? iron/!,2
What is found at car/ but can't cool car/? oil/!,2
What is found at quandry/ but can't dry out/? problem/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What can near conclusion/ but can't cost lot of money/? task/!,0
What is found at auditorium/ but can't crowd around singer/? row/!,2
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a season/ but isn't part of bullwhip/n/? summer/!,3
What is found at chemistry lab/ but isn't found at beer/? acid/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is found at air/ but can't arrive at airport/? aircraft/!,0
What is found at drink/ but can't hold liquids/? bottle/!,0
What is found at alaska/ but can't kill chickens/? snow/!,1.5
What is related to about/ but can't can begin to leak/? amount/!,0.5
What is a female/n/ but is not a animal/n/? woman/!,3
What is found at greece/ but isn't found at athens/? bath/!,0
What is a spokesperson/n/ but is not a person/n/? spokesman/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at parliament/ but can't advance agendas/? minister/!,0
What is found at continent/ but can't arm itself with weaponry/? land/!,1.5
What is found at top of mountain/ but can't blow hard/? beauty/!,1.5
What is found at a/ but isn't found at cafe/? drive/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is a color/ but is not a blue white color/? white/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is found at classroom/ but can't include index/? rule/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is found at bee hive/ but can't fly/? queen/!,0
What is found at america/ but can't expect freedoms/? prison/!,1.5
What is found at dentist/ but can't force person to cry/? patient/!,2
What can amount to nothing/ but can't destroy hope/? sum/!,4
"Sorry, we can't make a very good riddle with this startword.",0
What is related to business/ but can't gain earnings from investment/? conference/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is found at field/ but can't build elaborate underground dwellings/? wind/!,1.5
What is found at galaxy/ but can't circle sun/? world/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at artist's studio/ but isn't found at art supplies/? paper/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at bridge/ but can't blow hard/? river/!,1.5
What is found at box/ but can't crowd plate/? surprise/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is found at bowling alley/ but can't drunk/? lane/!,0
What is found at university/ but can't seat many people/? degree/!,1.5
What is a organization/n/ but is not a agent non geographical/n/? firm/!,0
What is found at bar/ but isn't found at bridge/? customer/!,2.5
What is a direction/ but can't fill pillow/? west/!,3
What is found at carnival/ but isn't found at disneyland/? park/!,0.5
What is found at beer/ but can't burn/? relief/!,1
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a spatial dimension/ but can't matter in basketball/? length/!,0
What is found at shelf/ but can't carry/? project/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at detroit/ but isn't found at air port/? union/!,0.5
What is used for solving problem/ but isn't used for software/? solution/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is found at a/ but isn't found at cafe/? hotel/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at rug/ but isn't found at backseat of car/? pattern/!,2
What is a geometric figure/ but can't support very large weight/? shape/!,0
What is found at garden/ but can't fly/? soil/!,2
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at drawer/ but doesn't have address printed on/? video/!,1
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at apartment/ but doesn't have back/? room/!,1
What is found at doctor/ but can't absorb bood and pus/? advice/!,2
What is found at library/ but isn't found at certain section of newspaper/? reference/!,0.5
What is found at building/ but can't cool car/? heat/!,1.5
What is found at dinner/ but can't get stale/? conversation/!,0
What can include individuals/ but can't bus together/? group/!,0
What is found at art show/ but isn't found at gallery opening/? money/!,1
What is found at auditorium/ but can't crowd around singer/? stage/!,2
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at conference/ but can't view wedding/? speaker/!,0
What is a event type/ but can't result in loss of life/? birth/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at desk/ but doesn't have many numbers/? worker/!,2.5
What is found at barn/ but can't ray of light/? machine/!,0
What is found at apartment/ but doesn't have back/? bedroom/!,1
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What can perfect technique/ but can't attempt to sell painting/? practice/!,1.5
What is found at bedroom/ but isn't found at furniture store/? sheet/!,1
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a exchange/v/ but is not a countertrade/n/? trade/!,1.5
What is a concept/n/ but is not a visual representation of/? notion/!,1
What likes have sex/ but can't wind up toy/? tom/!,0
What is found at university/ but can't seat many people/? debate/!,0.5
What is a abstract concept/ but isn't found at england/? freedom/!,0
What likes closure/ but can't absorb moisture/? victim/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at roadblock/ but can't cause acquired brain injury/? danger/!,0.5
What is a film/n/ but is not a golden mean number/? theme/!,0
What is found at book/ but isn't found at aquarium store/? note/!,1.5
What is found at library/ but isn't found at certain section of newspaper/? silence/!,1
What is a album/n/ but is not a characters/? recession/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at relatives house/ but can't cup face in hands/? dad/!,0
What is found at canada/ but isn't found at inn/? library/!,1.5
What is a decision/ but is not a film/n/? resolution/!,1.5
What is found at theater/ but doesn't have rough surface/? play/!,1.5
What is found at museum/ but isn't found at attic/? tour/!,2
What can last lifetime/ but can't come from very simple ideas/? marriage/!,0
What is found at book/ but isn't found at aquarium store/? information/!,0
What is found at city/ but isn't found at air port/? market/!,0.5
What is found at church/ but doesn't have two borders/? gold/!,1.5
What is found at basement/ but isn't found at apartment/? box/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What can heat up/ but can't appear suddenly/? temperature/!,2.5
What is found at apartment/ but doesn't have back/? television/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is a city/n/ but is not a in mexico/? manchester/!,1.5
What is found at drive in movie/ but isn't found at box/? screen/!,2
What is a class/ but is not a class in school/? english/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at arm/ but can't break tooth/? hair/!,3
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a organization/n/ but is not a agent non geographical/n/? institution/!,0
What is found at repair shop/ but can't fix automobile/? motor/!,0
What is found at apartment/ but doesn't have back/? furniture/!,0
What is found at field/ but can't build elaborate underground dwellings/? expert/!,3
What is a pilot/ but is not a aviator/? mark/!,0
What is found at mail/ but isn't found at bus/? statement/!,1
What is found at air/ but can't drop bomb/? sky/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at building/ but can't cool car/? president/!,1
What is found at desk/ but doesn't have many numbers/? work/!,1.5
What is found at bottle/ but can't cloud judgment/? drug/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at country/ but can't shoulder earth/? capital/!,0
What likes eat/ but can't die in laboratory/? cat/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at synagogue/ but can't include index/? peace/!,1
What is a direction/ but can't fill pillow/? east/!,3
What is a greenhouse gas/n/ but isn't part of firedamp/n/? co/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at atlas/ but doesn't have many fish/? route/!,1
What is related to after/ but can't can begin to leak/? middle/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is found at automobile/ but can't keep people inside/? steel/!,0.5
What is used for make money/ but isn't found at attic/? job/!,1
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a 24 hours long/ but is not a holiday/? day/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is a agreement/ but isn't used for defining obligations/? deal/!,0
What is found at continent/ but can't arm itself with weaponry/? valley/!,1
What is found at choir/ but doesn't have deeper voice than soprano/? voice/!,0
What is a composite type/n/ but can't number ten pupils/? structure/!,0
What is found at fairgrounds/ but can't attack/? fun/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is a punch/ but is not a mechaism/? cross/!,1
What is a candy bar/ but doesn't have about 100? way/!,0
What is a season/ but is not a autumn/? winter/!,3
What can save money/ but can't back project/? consumer/!,0
What is found at cup/ but can't spot fabric/? tea/!,0
What likes sex/ but doesn't have green car/? paul/!,0
What is found at apartment/ but doesn't have back/? tv/!,0
What is found at anywhere/ but isn't found at calofornia/? place/!,0.5
What likes attention/ but can't become dog/? dog/!,0
What is found at bottom of sea/ but isn't found at aquarium store/? rock/!,0
What is found at armory/ but can't arm itself/? club/!,2
What is found at movie/ but can't act badly/? scene/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is a piece of software/ but doesn't have icon on windows desktop/? application/!,0
What is a place/ but doesn't have lot of parking lots/? area/!,0.5
What is found at antique store/ but doesn't have drawers/? book/!,2
What is found at bus/ but isn't found at comercial/? city/!,0
What is found at motel/ but isn't found at camp ground/? sleep/!,1.5
What is found at moon/ but can't journey to distant places/? weather/!,1
What is found at ballroom/ but can't do twist/? ball/!,2.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at city/ but isn't found at air port/? store/!,0
What is related to about/ but can't can begin to leak/? turn/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at at hotel/ but can't smell bad/? phone/!,1
What is found at clothing store/ but can't become wet/? sale/!,3
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at animal/ but can't break tooth/? heart/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is found at air/ but can't drop bomb/? plane/!,0
What is found at family/ but can't better borther/? support/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at end of line/ but isn't found at corner of two streets/? end/!,3.5
What is found at basket/ but can't live on wet rocks/? bread/!,1
What is used for make friends/ but can't happening now/? smile/!,2
What is found at edinburgh/ but doesn't have air conditioners/? castle/!,3
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at newspaper/ but isn't found at advertising agency/? news/!,3
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a representation/ but can't cost great deal/? figure/!,0
What can answer question/ but can't age gracefully/? professor/!,0.5
What is found at baseball field/ but can't bounce/? injury/!,2
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is related to also/ but can't can begin to leak/? range/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at bible/ but isn't found at anyplace south of alaska/? king/!,0
What is a quark/ but is not a greeks/? top/!,3
What is found at business/ but can't advance employee's salary/? success/!,0
What is a concept/n/ but is not a visual representation of/? theory/!,2.5
What is found at coin collection/ but can't symbol/? silver/!,0
What is related to actors/ but isn't part of play/? agent/!,3.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at a/ but isn't found at cafe/? level/!,0
What is found at cabinet/ but isn't found at phonebook/? china/!,3
What can prove point/ but can't absorb moisture/? argument/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What likes sex/ but doesn't have green car/? henry/!,0
What can cause person to die/ but can't dangerous used improperly/? shock/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at art show/ but isn't found at gallery opening/? wall/!,0
What is related to conference/ but can't crowd around singer/? convention/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at universe/ but isn't found at outer space/? expansion/!,0
What is a book/n/ but is not a animals/? help/!,0.5
What is a anatomical structure/n/ but doesn't have organs/? shoulder/!,0
What is found at car show/ but isn't found at car dealership/? crowd/!,3
What is found at dinner/ but can't get stale/? meal/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is a television episode/n/ but isn't part of south park/? run/!,0
What can mine database/ but can't run on computer/? user/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a concept/n/ but is not a visual representation of/? scheme/!,2
What is found at book/ but isn't found at aquarium store/? prince/!,1
What is found at end of line/ but isn't found at corner of two streets/? period/!,2.5
What is found at country/ but can't shoulder earth/? border/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at city/ but isn't found at air port/? hospital/!,1.5
What is found at computer/ but can't carry passengers/? program/!,1
What is found at museum/ but isn't found at attic/? history/!,0.5
What is found at apartment/ but doesn't have back/? kitchen/!,0
What is a color/ but is not a blue white color/? brown/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is a good thing/ but isn't found at chemistry lab/? organization/!,1.5
What is found at business/ but can't advance employee's salary/? office/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What can complete book/ but can't tell story/? author/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at airport/ but isn't found at advertising agency/? coffee/!,0
What is found at resturant/ but can't cloud judgment/? a/!,0
What can fine company/ but can't charge fee for service/? agency/!,0
What is found at building/ but can't cool car/? court/!,1
What is found at art show/ but isn't found at gallery opening/? wine/!,0
What is found at backpack/ but can't leak/? drink/!,0
What likes live/ but can't commit genocide/? love/!,0.5
What is related to division/ but isn't part of play/? addition/!,2
What is found at mail/ but isn't found at bus/? package/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is a car/ but isn't found at germany/? estate/!,0
What is a album/n/ but is not a characters/? contact/!,0
What is found at air/ but can't drop bomb/? arm/!,1.5
What is found at backseat of car/ but can't arrive early/? change/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is a abstract concept/ but isn't found at england/? democracy/!,0
What is found at cabinet/ but isn't found at phonebook/? music/!,0
What likes sex/ but doesn't have green car/? john/!,0
What is found at fair/ but can't attack/? art/!,1.5
What is found at bible/ but isn't found at anyplace south of alaska/? god/!,2.5
What is a magazine/n/ but can't push idea/? total/!,0
What is found at ocean/ but can't bottom out/? ship/!,0
What is found at airport/ but isn't found at advertising agency/? bar/!,2
What is found at dirt/ but isn't found at aquarium store/? plant/!,0
What is found at fork in road/ but isn't found at binder/? decision/!,1
What is found at newspaper/ but isn't found at advertising agency/? opinion/!,1.5
What is used for help/ but doesn't have at least few page/? secretary/!,2
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at sky/ but can't blow hard/? atmosphere/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What can lead troops/ but can't condition soldiers/? general/!,1
What is found at gallery opening/ but can't ask what truth/? attitude/!,0
What is used for weak/ but can't guide traveler/? religion/!,0.5
What can arriving late/ but can't arrive unexpectedly/? flight/!,2.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at field/ but can't build elaborate underground dwellings/? growth/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at backseat of car/ but can't carry/? baby/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is found at big city/ but isn't found at towns/? museum/!,0
What is found at backpack/ but can't leak/? tape/!,1.5
What can cause mental illness/ but can't age grieving person/? unemployment/!,0.5
What is found at trash/ but doesn't have address printed on/? waste/!,0.5
What is found at water/ but isn't found at swimming pool/? bottom/!,0
What is a concept/n/ but is not a visual representation of/? fact/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is used for all people/ but isn't used for cops/? justice/!,1.5
What is found at air/ but can't drop bomb/? pollution/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is found at office/ but can't cool car/? client/!,1.5
What is a legal entity/ but doesn't have assets/? corporation/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is a legal document/ but is not a gateway to world/? contract/!,1
What is found at back yard/ but isn't found at anyplace south of alaska/? garden/!,0
What is found at boat/ but can't cloud judgment/? party/!,1.5
What is a sense/ but isn't part of tongue's purpose/? sight/!,2.5
