riddle,score
What is found at museum/ but isn't found at attic/? guide/!,3
What is a art/ but isn't part of theater/? nature/!,3.5
What can cloud issue/ but can't gathering steam/? doubt/!,1.5
What is found at table/ but can't build elaborate underground dwellings/? breakfast/!,1.5
What is found at city/ but isn't found at air port/? pub/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at chess game/ but can't kill king/? piece/!,1
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at church/ but doesn't have two borders/? faith/!,1.5
What is found at body/ but isn't found at animal/? culture/!,1
What is a spouse/n/ but is not a wedder/n/wikt/en 1/? husband/!,0
What is found at computer/ but can't carry passengers/? file/!,1.5
What can control car/ but can't control direction car turns/? driver/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is a great time of year/ but is not a holiday/n/? fall/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is related to also/ but can't can begin to leak/? operation/!,0
What is found at big city/ but isn't found at towns/? industry/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is a movement/ but can't good exercise/? flow/!,0
What likes sex/ but doesn't have green car/? mike/!,0
What is found at big city/ but isn't found at towns/? college/!,0
What is related to first/ but can't can begin to leak/? impression/!,1
What is a band/n/ but is not a automobile/n/? vision/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at surface of earth/ but can't blow hard/? bush/!,1
What is a chemical/ but can't burn flesh/? base/!,2.5
"Sorry, we can't make a very good riddle with this startword.",0
What is a years/ but is not a 1000 years/? century/!,2
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a board game/ but is not a analytical game/? risk/!,2
What can age prematurely/ but can't act crazy/? stress/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is found at cabinet/ but isn't found at phonebook/? plastic/!,1
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at person/ but can't can coursing through veins/? brain/!,1.5
What is found at book/ but isn't found at aquarium store/? word/!,0
What is found at casino/ but can't cloud judgment/? failure/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at battlefield/ but can't advance across countryside/? battle/!,0
What is found at bookshelf/ but can't include index/? volume/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at arena/ but isn't found at business building/? audience/!,2
What is found at home/ but can't cool car/? mum/!,1
What is found at backpack/ but can't leak/? school/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
What can pass ball/ but can't corner sharply/? will/!,0
What is found at chemistry lab/ but can't burn flesh/? university/!,0.5
What can throw ball/ but can't act guilty/? peter/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at conference/ but can't view wedding/? class/!,0.5
What is found at top of mountain/ but can't blow hard/? view/!,1.5
What is found at arcade/ but isn't found at celebration station/? game/!,0
What is found at hospital/ but can't carry documents/? blood/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at at hotel/ but can't smell bad/? restaurant/!,0.5
What is found at geometry/ but isn't found at geometry problem/? square/!,0
What is found at container/ but can't fall down/? item/!,0
What is found at country/ but can't shoulder earth/? state/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at airport/ but isn't found at advertising agency/? chair/!,0
What is found at animal/ but can't break tooth/? chest/!,0.5
What is used for communicate ideas/ but isn't found at book/? language/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at universe/ but isn't found at outer space/? intelligence/!,2
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is related to after/ but isn't found at resturant/? condition/!,1
What is a living thing/ but can't burn/? species/!,0
What is found at pocket/ but can't blow hard/? hand/!,0.5
What is a activity/ but is not a popular sport/? golf/!,0.5
What is found at army/ but can't arm itself/? gun/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at computer/ but can't carry passengers/? software/!,1
What can amount to nothing/ but can't destroy hope/? effort/!,2.5
What is used for laughing/ but isn't used for building rapport/? site/!,0
What is found at countryside/ but isn't found at anyplace south of alaska/? farm/!,0
What is a country/ but doesn't have 50 states/? japan/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is found at a/ but isn't found at cafe/? glass/!,0
What is found at apartment building/ but can't belonging to tenant/? home/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at desk/ but doesn't have many numbers/? manager/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is related to after/ but can't can begin to leak/? answer/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at oven/ but doesn't have crust filled with apples/? dinner/!,2
What is found at city/ but isn't found at air port/? church/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at boot/ but can't fall asleep in arms/? foot/!,0
What is found at bible/ but isn't found at anyplace south of alaska/? passage/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is a abstraction/ but can't increase awareness/? concept/!,0
What is a newspaper/n/ but is not a person/? age/!,0
What is used for storing information/ but can't store data/? document/!,0
What is found at anything/ but isn't found at air/? material/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is related to come/ but can't hope for better/? comparison/!,0
What is found at amazon basin/ but can't attempt to climb tree/? forest/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is a event type/ but isn't found at battlefield/? election/!,1
What is found at airplane/ but can't reclined/? roof/!,1.5
What is a acolor/ but isn't part of spectrum/? green/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at book/ but isn't found at aquarium store/? sign/!,0
What has meaning/ but doesn't have nouns and verbs/? term/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a 365 days long/ but doesn't have 365 days/? year/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at bank/ but can't leak/? line/!,0.5
What is found at city/ but isn't found at air port/? factory/!,1.5
What is a file/ but is not a area/? index/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is a film/n/ but is not a golden mean number/? district/!,0
What is found at boardroom/ but can't further victory/? committee/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at big city/ but isn't found at towns/? business/!,0
What is found at backseat of car/ but can't arrive early/? sex/!,0
What is found at body of water/ but can't build dam/? island/!,1
What is found at sporting event/ but can't better himself/? player/!,0
What is a time series/n/ but can't include items/? series/!,0
What is found at bathtub/ but isn't found at child's room/? ring/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is a female/n/ but is not a animal/n/? girl/!,2
What is found at friend's wedding/ but can't destroy marriages/? band/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is found at crime scene/ but can't arm man/? evidence/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is found at plane/ but isn't found at air/? engine/!,0
What is found at animal/ but can't break tooth/? meat/!,1.5
What is found at airport/ but isn't found at advertising agency/? connection/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What can matter lot/ but can't anger animal/? context/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is found at computer store/ but can't act abnormally/? system/!,0
What is found at circus/ but can't blowing in wind/? performance/!,1
What is a running out/ but doesn't have only one direction/? energy/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is found at demonstration/ but can't starting ruckus/? product/!,0
What is found at marriage/ but isn't found at family/? role/!,0
What is found at apartment/ but doesn't have back/? bed/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at corner/ but isn't found at airport/? cabinet/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at soccer game/ but can't annoy/? team/!,0
What is related to area/ but doesn't have organs/? region/!,0.5
What is found at donut shop/ but can't arrest criminals/? police/!,0
What is found at air/ but can't drop bomb/? rain/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is used for light fire/ but can't cause fire/? match/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at conference/ but can't view wedding/? report/!,0
What has 31 days/ but can't part company right now/? may/!,1
What can shoe horse/ but can't fix horseshoe/? smith/!,0
What is found at office/ but can't cool car/? record/!,1.5
What is found at apartment/ but doesn't have back/? table/!,0
What likes learn/ but can't act guilty/? student/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a concept/n/ but is not a visual representation of/? law/!,0.5
What is found at quandry/ but can't dry out/? mind/!,2
What can increase heart rate/ but can't considered work/? exercise/!,0.5
What is found at england/ but isn't found at normandy/? channel/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at airplane/ but can't reclined/? captain/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is a film/n/ but is not a golden mean number/? appointment/!,0
What is related to about/ but can't can begin to leak/? fashion/!,0
What is a programming language/ but is not a computer programming language/? assembly/!,0
What is found at apartment/ but doesn't have back/? cup/!,0.5
What is related to acceleration/ but can't can begin to leak/? force/!,1.5
What can kill/ but can't arm itself/? cancer/!,2
What is found at opera/ but can't act badly/? show/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is a substance/ but isn't found at armpits/? element/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is a film/n/ but is not a golden mean number/? search/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a sensation/ but is not a feeling/? pressure/!,2.5
What is found at meeting/ but isn't found at conference/? chairman/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at end of line/ but isn't found at corner of two streets/? point/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What likes sunshine/ but can't absorb moisture/? tree/!,0
What is related to actors/ but can't ask whether to perform task/? act/!,0.5
What is a company/n/ but isn't found at india/? post/!,0
What is found at forest/ but can't produce oak/? fire/!,1.5
What is a album/n/ but is not a characters/? attention/!,0
What can increase knowledge/ but can't open mind/? experience/!,0
What is a word/ but can't drop off fare/? care/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What can near end/ but can't continue after intermission/? activity/!,0
What is related to aim/ but doesn't have mowed lawn trim trees/? intention/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at book/ but isn't found at aquarium store/? title/!,1.5
What likes diamonds/ but can't absorb moisture/? lady/!,1
What is related to before/ but can't can begin to leak/? afternoon/!,0
What is found at garage/ but can't need to repaired/? collection/!,0
What is found at beach/ but can't build elaborate underground dwellings/? sun/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is found at beach/ but can't build elaborate underground dwellings/? sea/!,1
What is found at container/ but can't fall down/? fruit/!,0
What is found at backpack/ but can't leak/? food/!,0
What likes candy/ but can't absorb moisture/? child/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at newspaper/ but isn't found at advertising agency/? page/!,0.5
What is a direction/ but can't fill pillow/? north/!,3
What is found at galaxy/ but can't circle sun/? star/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What likes sex/ but doesn't have green car/? bob/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What can amount to nothing/ but can't destroy hope/? plan/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at university/ but can't seat many people/? research/!,2
What can finish book/ but can't begin to write book/? sentence/!,4
What is a parent/n/ but is not a man/n/opencyc/adult male human/? mother/!,0.5
What can shine light/ but can't keep wolf at bay/? start/!,0
What is found at plate/ but can't catch baseball/? design/!,2
What is a bluish white lustrous metal/ but is not a chemical element/? lead/!,0
What likes food/ but can't act finicky/? fish/!,0.5
What is found at corner of two streets/ but can't appear suddenly/? grass/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
What is a sibling/n/ but can't better borther/? sister/!,0
What is found at fork in road/ but isn't found at binder/? choice/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at race track/ but can't smell bad/? rail/!,1.5
What is found at cabinet/ but isn't found at phonebook/? film/!,0
What is found at basement/ but isn't found at apartment/? electricity/!,0
What is found at city/ but isn't found at air port/? bank/!,1
What is found at country/ but can't shoulder earth/? hill/!,0
What is used for grow/ but isn't found at bean bag/? future/!,0.5
What is found at big house/ but can't heat room/? study/!,1.5
What is found at asia/ but isn't found at aisa/? mountain/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is a center/ but can't forward letter/? centre/!,0
What is a amount of money/ but is not a important quality/? fund/!,1
What is found at street corner/ but can't appear suddenly/? corner/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is found at arena/ but can't crowd around singer/? track/!,1.5
What is found at desk/ but doesn't have many numbers/? telephone/!,0
What is related to man/ but can't destroy relationship/? establishment/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at book/ but isn't found at aquarium store/? kingdom/!,1
What is found at trunk/ but isn't found at attic/? case/!,1
What is found at at hotel/ but can't smell bad/? pool/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at car/ but can't cool car/? metal/!,2
What is found at head/ but can't become infected/? mouth/!,0
What is related to pro/ but can't crowd around singer/? provision/!,0.5
What is found at book store/ but can't include index/? text/!,0.5
What is a album/n/ but is not a characters/? core/!,0
What is a game/ but is not a fun game/? rugby/!,0
What is found at building/ but can't cool car/? hall/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at friend's wedding/ but can't destroy marriages/? family/!,0
What is found at apartment building/ but can't belonging to tenant/? flat/!,2
What is found at art show/ but isn't found at gallery opening/? window/!,0
What is found at bed/ but can't carry/? coal/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a musical artist/n/ but is not a interpetor/? edge/!,0
What is found at africa/ but can't act finicky/? village/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at country/ but can't shoulder earth/? field/!,0
What is found at all buildings/ but doesn't have shingles/? floor/!,2
What is related to classic/ but isn't found at fair/? style/!,1
What is found at book store/ but can't include index/? literature/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at bar/ but isn't found at bridge/? spirit/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is found at airport/ but isn't found at advertising agency/? security/!,0
What is found at forest/ but can't produce oak/? branch/!,0.5
What is found at army/ but can't arm itself/? leader/!,0
What can battle cancer/ but can't absorb moisture/? technology/!,3.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at big house/ but can't heat room/? gentleman/!,0.5
What is found at office/ but can't cool car/? call/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
What is used for learning/ but isn't used for attempting to model universe accurately/? mistake/!,3
What is found at demonstration/ but can't starting ruckus/? crime/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at mail/ but isn't found at bus/? message/!,1
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at uk/ but isn't part of british isles/? pound/!,0
What is found at apartment/ but doesn't have back/? computer/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is related to area/ but isn't part of insect/? department/!,1
What is related to also/ but isn't found at resturant/? revolution/!,0
What is a concept/n/ but is not a visual representation of/? part/!,1
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at bedroom/ but isn't found at furniture store/? radio/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at roadblock/ but can't cause acquired brain injury/? construction/!,0
What is a amount of money/ but is not a collection of mone/? balance/!,0
What is found at hockey game/ but can't crowd around singer/? violence/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What likes attention/ but can't act playful/? teacher/!,2
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is related to annual/ but can't best beauty/? season/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at war/ but can't accelerate/? fear/!,1
What is found at a/ but isn't found at cafe/? horse/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is a illusion/ but can't allow discourse/? self/!,0
What is found at work/ but can't fight headache/? challenge/!,1.5
What is found at alphabet/ but can't fly/? letter/!,1
What is found at dungeon/ but doesn't have doors/? chain/!,1.5
What is related to after/ but can't can begin to leak/? morning/!,0
What is found at newspaper/ but isn't found at advertising agency/? article/!,0.5
What can increase in value/ but is not a non renewable resource/? stock/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is related to about/ but can't can begin to leak/? profit/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at japan/ but isn't found at honshu/? nation/!,0
What is a greeks/ but is not a greeks/n/? speed/!,0
What is found at closet/ but doesn't have strings/? foundation/!,0
What is found at brook/ but can't build dam/? stone/!,0
What is found at barn/ but can't ray of light/? mill/!,0
What is found at cemetary/ but isn't found at church/? body/!,0
What is found at cabinet/ but isn't found at phonebook/? plate/!,1.5
What is found at california/ but isn't found at united states/? bridge/!,0
What likes money/ but can't believe god real/? company/!,0.5
What is found at roadblock/ but isn't found at war/? accident/!,0
What can fall down/ but can't happen and often does/? thing/!,0
What likes sex/ but doesn't have green car/? joe/!,0
What is found at surface of earth/ but can't blow hard/? feature/!,1
What is found at bathroom/ but can't dry skin/? scale/!,2
What can gain interest/ but can't arm malitia/? loan/!,0.5
What likes sex/ but doesn't have green car/? mary/!,0
What is used for think/ but can't control body/? time/!,4
"Sorry, we can't make a very good riddle with this startword.",0
What is found at battlefield/ but can't advance across countryside/? death/!,2
What is found at bank/ but can't leak/? cash/!,1.5
What is a concept/n/ but is not a visual representation of/? property/!,1
What is found at courtroom/ but doesn't have papers/? trial/!,0
What is found at country/ but can't shoulder earth/? town/!,0
What is found at hockey game/ but can't crowd around singer/? goal/!,1.5
What is found at face/ but isn't found at act of building dam/? eye/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a concept/n/ but is not a visual representation of/? possibility/!,0.5
What is found at big cities/ but can't catch fire easily/? bus/!,1.5
What is related to ask/ but isn't found at doctor/? inquiry/!,1
What is found at art show/ but isn't found at disneyland/? artist/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is found at bridge/ but can't blow hard/? road/!,1.5
What is found at newspaper/ but isn't found at advertising agency/? copy/!,0
What is found at theatre/ but can't blow hard/? couple/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at neighbor's house/ but can't bottom out/? van/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What can cause death/ but can't result in death/? murder/!,0
What is a hat/ but can't get strike/? crown/!,0.5
What is found at conference/ but can't view wedding/? specialist/!,0
What is found at box/ but can't crowd plate/? present/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at building/ but can't cool car/? board/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is found at air/ but can't drop bomb/? nose/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0